Date, Winner, Winning Score, Loser, Losing Score
Jan 6| 2002,Jacksonville Jaguars,33,Chicago Bears,13
Jan 6| 2002,New England Patriots,38,Carolina Panthers,6
Jan 6| 2002,Cincinnati Bengals,23,Tennessee Titans,21
Jan 6| 2002,Dallas Cowboys,15,Detroit Lions,10
Jan 6| 2002,Green Bay Packers,34,New York Giants,25
Jan 6| 2002,Atlanta Falcons,31,St. Louis Rams,13
Jan 6| 2002,New York Jets,24,Oakland Raiders,22
Jan 6| 2002,Kansas City Chiefs,21,Seattle Seahawks,18
Jan 6| 2002,Buffalo Bills,34,Miami Dolphins,7
Jan 6| 2002,Philadelphia Eagles,17,Tampa Bay Buccaneers,13
Jan 7| 2002,Minnesota Vikings,19,Baltimore Ravens,3
Jan 12| 2002,Tampa Bay Buccaneers,31,Philadelphia Eagles,9
Jan 12| 2002,New York Jets,38,Oakland Raiders,24
Jan 13| 2002,San Francisco 49ers,25,Green Bay Packers,15
Jan 13| 2002,Baltimore Ravens,20,Miami Dolphins,3
Jan 19| 2002,Philadelphia Eagles,33,Chicago Bears,19
Jan 19| 2002,Oakland Raiders,16,New England Patriots,13
Jan 20| 2002,Baltimore Ravens,27,Pittsburgh Steelers,10
Jan 20| 2002,Green Bay Packers,45,St. Louis Rams,17
Jan 27| 2002,New England Patriots,24,Pittsburgh Steelers,17
Jan 27| 2002,Philadelphia Eagles,29,St. Louis Rams,24
Feb 3| 2002,St. Louis Rams,20,New England Patriots,17
Sep 5| 2002,San Francisco 49ers,16,New York Giants,13
Sep 8| 2002,Baltimore Ravens,10,Carolina Panthers,7
Sep 8| 2002,New York Jets,37,Buffalo Bills,31
Sep 8| 2002,Detroit Lions,49,Miami Dolphins,21
Sep 8| 2002,Indianapolis Colts,28,Jacksonville Jaguars,25
Sep 8| 2002,Atlanta Falcons,37,Green Bay Packers,34
Sep 8| 2002,Kansas City Chiefs,40,Cleveland Browns,39
Sep 8| 2002,San Diego Chargers,34,Cincinnati Bengals,6
Sep 8| 2002,Minnesota Vikings,27,Chicago Bears,23
Sep 8| 2002,Arizona Cardinals,31,Washington Redskins,23
Sep 8| 2002,Philadelphia Eagles,27,Tennessee Titans,24
Sep 8| 2002,New Orleans Saints,26,Tampa Bay Buccaneers,20
Sep 8| 2002,Seattle Seahawks,31,Oakland Raiders,17
Sep 8| 2002,St. Louis Rams,23,Denver Broncos,16
Sep 8| 2002,Dallas Cowboys,19,Houston Texans,10
Sep 9| 2002,Pittsburgh Steelers,30,New England Patriots,14
Sep 15| 2002,Jacksonville Jaguars,23,Kansas City Chiefs,16
Sep 15| 2002,Miami Dolphins,21,Indianapolis Colts,13
Sep 15| 2002,Tampa Bay Buccaneers,25,Baltimore Ravens,0
Sep 15| 2002,Tennessee Titans,21,Dallas Cowboys,13
Sep 15| 2002,Cincinnati Bengals,20,Cleveland Browns,7
Sep 15| 2002,New England Patriots,44,New York Jets,7
Sep 15| 2002,Detroit Lions,31,Carolina Panthers,7
Sep 15| 2002,Chicago Bears,14,Atlanta Falcons,13
Sep 15| 2002,Green Bay Packers,35,New Orleans Saints,20
Sep 15| 2002,New York Giants,26,St. Louis Rams,21
Sep 15| 2002,Denver Broncos,24,San Francisco 49ers,14
Sep 15| 2002,Arizona Cardinals,24,Seattle Seahawks,13
Sep 15| 2002,Houston Texans,24,San Diego Chargers,3
Sep 15| 2002,Buffalo Bills,45,Minnesota Vikings,39
Sep 15| 2002,Oakland Raiders,30,Pittsburgh Steelers,17
Sep 16| 2002,Philadelphia Eagles,37,Washington Redskins,7
Sep 22| 2002,Carolina Panthers,21,Minnesota Vikings,14
Sep 22| 2002,Indianapolis Colts,23,Houston Texans,3
Sep 22| 2002,Dallas Cowboys,44,Philadelphia Eagles,13
Sep 22| 2002,Kansas City Chiefs,41,New England Patriots,38
Sep 22| 2002,New York Jets,30,Miami Dolphins,3
Sep 22| 2002,Cleveland Browns,31,Tennessee Titans,28
Sep 22| 2002,New Orleans Saints,29,Chicago Bears,23
Sep 22| 2002,San Diego Chargers,23,Arizona Cardinals,15
Sep 22| 2002,Buffalo Bills,28,Denver Broncos,23
Sep 22| 2002,Seattle Seahawks,9,New York Giants,6
Sep 22| 2002,Washington Redskins,20,San Francisco 49ers,10
Sep 22| 2002,Green Bay Packers,37,Detroit Lions,31
Sep 22| 2002,Cincinnati Bengals,30,Atlanta Falcons,3
Sep 23| 2002,St. Louis Rams,26,Tampa Bay Buccaneers,14
Sep 29| 2002,Miami Dolphins,48,Kansas City Chiefs,30
Sep 29| 2002,Cleveland Browns,16,Pittsburgh Steelers,13
Sep 29| 2002,Dallas Cowboys,13,St. Louis Rams,10
Sep 29| 2002,Houston Texans,35,Philadelphia Eagles,17
Sep 29| 2002,New York Jets,28,Jacksonville Jaguars,3
Sep 29| 2002,Carolina Panthers,17,Green Bay Packers,14
Sep 29| 2002,New Orleans Saints,26,Detroit Lions,21
Sep 29| 2002,Chicago Bears,33,Buffalo Bills,27
Sep 29| 2002,New York Giants,21,Arizona Cardinals,7
Sep 29| 2002,Tampa Bay Buccaneers,35,Cincinnati Bengals,7
Sep 29| 2002,New England Patriots,21,San Diego Chargers,14
Sep 29| 2002,Tennessee Titans,52,Oakland Raiders,25
Sep 29| 2002,Minnesota Vikings,48,Seattle Seahawks,23
Sep 30| 2002,Denver Broncos,34,Baltimore Ravens,23
Oct 6| 2002,Cincinnati Bengals,28,Indianapolis Colts,21
Oct 6| 2002,Arizona Cardinals,16,Carolina Panthers,13
Oct 6| 2002,Oakland Raiders,49,Buffalo Bills,31
Oct 6| 2002,Pittsburgh Steelers,32,New Orleans Saints,29
Oct 6| 2002,New England Patriots,26,Miami Dolphins,13
Oct 6| 2002,Tampa Bay Buccaneers,20,Atlanta Falcons,6
Oct 6| 2002,Washington Redskins,31,Tennessee Titans,14
Oct 6| 2002,New York Giants,21,Dallas Cowboys,17
Oct 6| 2002,San Diego Chargers,26,Denver Broncos,9
Oct 6| 2002,Kansas City Chiefs,29,New York Jets,25
Oct 6| 2002,Philadelphia Eagles,28,Jacksonville Jaguars,25
Oct 6| 2002,St. Louis Rams,37,San Francisco 49ers,13
Oct 6| 2002,Baltimore Ravens,26,Cleveland Browns,21
Oct 7| 2002,Green Bay Packers,34,Chicago Bears,21
Oct 13| 2002,Baltimore Ravens,22,Indianapolis Colts,20
Oct 13| 2002,Detroit Lions,31,Minnesota Vikings,24
Oct 13| 2002,New Orleans Saints,43,Washington Redskins,27
Oct 13| 2002,Cleveland Browns,17,Tampa Bay Buccaneers,3
Oct 13| 2002,Pittsburgh Steelers,34,Cincinnati Bengals,7
Oct 13| 2002,Green Bay Packers,28,New England Patriots,10
Oct 13| 2002,Buffalo Bills,31,Houston Texans,24
Oct 13| 2002,Carolina Panthers,14,Dallas Cowboys,13
Oct 13| 2002,Atlanta Falcons,17,New York Giants,10
Oct 13| 2002,Jacksonville Jaguars,23,Tennessee Titans,14
Oct 13| 2002,Kansas City Chiefs,35,San Diego Chargers,34
Oct 13| 2002,Oakland Raiders,28,St. Louis Rams,13
Oct 13| 2002,Miami Dolphins,24,Denver Broncos,22
Oct 14| 2002,San Francisco 49ers,28,Seattle Seahawks,21
Oct 20| 2002,Denver Broncos,37,Kansas City Chiefs,34
Oct 20| 2002,Jacksonville Jaguars,17,Baltimore Ravens,10
Oct 20| 2002,Seattle Seahawks,37,St. Louis Rams,20
Oct 20| 2002,Minnesota Vikings,20,New York Jets,7
Oct 20| 2002,San Francisco 49ers,35,New Orleans Saints,27
Oct 20| 2002,Buffalo Bills,23,Miami Dolphins,10
Oct 20| 2002,Chicago Bears,23,Detroit Lions,20
Oct 20| 2002,Carolina Panthers,30,Atlanta Falcons,0
Oct 20| 2002,Houston Texans,34,Cleveland Browns,17
Oct 20| 2002,San Diego Chargers,27,Oakland Raiders,21
Oct 20| 2002,Dallas Cowboys,9,Arizona Cardinals,6
Oct 20| 2002,Tampa Bay Buccaneers,20,Philadelphia Eagles,10
Oct 20| 2002,Washington Redskins,30,Green Bay Packers,9
Oct 21| 2002,Indianapolis Colts,28,Pittsburgh Steelers,10
Oct 27| 2002,Chicago Bears,25,Minnesota Vikings,7
Oct 27| 2002,Oakland Raiders,20,Kansas City Chiefs,10
Oct 27| 2002,Tennessee Titans,30,Cincinnati Bengals,24
Oct 27| 2002,Tampa Bay Buccaneers,12,Carolina Panthers,9
Oct 27| 2002,Detroit Lions,24,Buffalo Bills,17
Oct 27| 2002,Pittsburgh Steelers,31,Baltimore Ravens,18
Oct 27| 2002,Cleveland Browns,24,New York Jets,21
Oct 27| 2002,Atlanta Falcons,37,New Orleans Saints,35
Oct 27| 2002,Seattle Seahawks,17,Dallas Cowboys,14
Oct 27| 2002,Arizona Cardinals,38,San Francisco 49ers,28
Oct 27| 2002,Denver Broncos,24,New England Patriots,16
Oct 27| 2002,Houston Texans,21,Jacksonville Jaguars,19
Oct 27| 2002,Indianapolis Colts,26,Washington Redskins,21
Oct 28| 2002,New York Giants,17,Philadelphia Eagles,3
Nov 3| 2002,Tennessee Titans,23,Indianapolis Colts,15
Nov 3| 2002,Minnesota Vikings,38,Tampa Bay Buccaneers,24
Nov 3| 2002,Cincinnati Bengals,38,Houston Texans,3
Nov 3| 2002,New England Patriots,38,Buffalo Bills,7
Nov 3| 2002,Pittsburgh Steelers,23,Cleveland Browns,20
Nov 3| 2002,Dallas Cowboys,9,Detroit Lions,7
Nov 3| 2002,Philadelphia Eagles,19,Chicago Bears,13
Nov 3| 2002,Baltimore Ravens,20,Atlanta Falcons,17
Nov 3| 2002,New York Jets,44,San Diego Chargers,13
Nov 3| 2002,Washington Redskins,14,Seattle Seahawks,3
Nov 3| 2002,San Francisco 49ers,23,Oakland Raiders,20
Nov 3| 2002,St. Louis Rams,27,Arizona Cardinals,14
Nov 3| 2002,Jacksonville Jaguars,24,New York Giants,17
Nov 4| 2002,Miami Dolphins,24,Green Bay Packers,10
Nov 10| 2002,New York Giants,27,Minnesota Vikings,20
Nov 10| 2002,Atlanta Falcons,34,Pittsburgh Steelers,34
Nov 10| 2002,New Orleans Saints,34,Carolina Panthers,24
Nov 10| 2002,Cincinnati Bengals,38,Baltimore Ravens,27
Nov 10| 2002,San Diego Chargers,28,St. Louis Rams,24
Nov 10| 2002,Detroit Lions,40,Green Bay Packers,14
Nov 10| 2002,Indianapolis Colts,35,Philadelphia Eagles,13
Nov 10| 2002,Houston Texans,17,Tennessee Titans,10
Nov 10| 2002,Washington Redskins,26,Jacksonville Jaguars,7
Nov 10| 2002,Seattle Seahawks,27,Arizona Cardinals,6
Nov 10| 2002,New England Patriots,33,Chicago Bears,30
Nov 10| 2002,Kansas City Chiefs,17,San Francisco 49ers,13
Nov 10| 2002,Miami Dolphins,13,New York Jets,10
Nov 11| 2002,Oakland Raiders,34,Denver Broncos,10
Nov 17| 2002,Green Bay Packers,31,Minnesota Vikings,21
Nov 17| 2002,Dallas Cowboys,20,Indianapolis Colts,3
Nov 17| 2002,Buffalo Bills,17,Kansas City Chiefs,16
Nov 17| 2002,Cleveland Browns,27,Cincinnati Bengals,20
Nov 17| 2002,Jacksonville Jaguars,24,Houston Texans,21
Nov 17| 2002,Arizona Cardinals,38,Philadelphia Eagles,14
Nov 17| 2002,Pittsburgh Steelers,31,Tennessee Titans,23
Nov 17| 2002,Washington Redskins,19,New York Giants,17
Nov 17| 2002,New Orleans Saints,24,Atlanta Falcons,17
Nov 17| 2002,Carolina Panthers,23,Tampa Bay Buccaneers,10
Nov 17| 2002,San Francisco 49ers,20,San Diego Chargers,17
Nov 17| 2002,Denver Broncos,31,Seattle Seahawks,9
Nov 17| 2002,Baltimore Ravens,26,Miami Dolphins,7
Nov 17| 2002,New York Jets,31,Detroit Lions,14
Nov 17| 2002,New England Patriots,27,Oakland Raiders,20
Nov 18| 2002,Chicago Bears,21,St. Louis Rams,16
Nov 24| 2002,St. Louis Rams,20,Washington Redskins,17
Nov 24| 2002,Cincinnati Bengals,29,Pittsburgh Steelers,21
Nov 24| 2002,Atlanta Falcons,41,Carolina Panthers,0
Nov 24| 2002,Tennessee Titans,13,Baltimore Ravens,12
Nov 24| 2002,Buffalo Bills,31,New York Jets,13
Nov 24| 2002,Minnesota Vikings,24,New England Patriots,17
Nov 24| 2002,Cleveland Browns,24,New Orleans Saints,15
Nov 24| 2002,San Diego Chargers,30,Miami Dolphins,3
Nov 24| 2002,Detroit Lions,20,Chicago Bears,17
Nov 24| 2002,Jacksonville Jaguars,21,Dallas Cowboys,19
Nov 24| 2002,Oakland Raiders,41,Arizona Cardinals,20
Nov 24| 2002,Kansas City Chiefs,39,Seattle Seahawks,32
Nov 24| 2002,Green Bay Packers,21,Tampa Bay Buccaneers,7
Nov 24| 2002,New York Giants,16,Houston Texans,14
Nov 24| 2002,Indianapolis Colts,23,Denver Broncos,20
Nov 25| 2002,Philadelphia Eagles,38,San Francisco 49ers,17
Nov 28| 2002,New England Patriots,20,Detroit Lions,12
Nov 28| 2002,Washington Redskins,27,Dallas Cowboys,20
Dec 1| 2002,Atlanta Falcons,30,Minnesota Vikings,24
Dec 1| 2002,Arizona Cardinals,49,Kansas City Chiefs,0
Dec 1| 2002,Miami Dolphins,38,Buffalo Bills,21
Dec 1| 2002,Chicago Bears,30,Green Bay Packers,20
Dec 1| 2002,Baltimore Ravens,27,Cincinnati Bengals,23
Dec 1| 2002,Tennessee Titans,32,New York Giants,29
Dec 1| 2002,Carolina Panthers,13,Cleveland Browns,6
Dec 1| 2002,Pittsburgh Steelers,25,Jacksonville Jaguars,23
Dec 1| 2002,Houston Texans,19,Indianapolis Colts,3
Dec 1| 2002,Denver Broncos,30,San Diego Chargers,27
Dec 1| 2002,Seattle Seahawks,31,San Francisco 49ers,24
Dec 1| 2002,St. Louis Rams,10,Philadelphia Eagles,3
Dec 1| 2002,Tampa Bay Buccaneers,23,New Orleans Saints,20
Dec 2| 2002,New York Jets,26,Oakland Raiders,20
Dec 8| 2002,St. Louis Rams,49,Kansas City Chiefs,10
Dec 8| 2002,Atlanta Falcons,34,Tampa Bay Buccaneers,10
Dec 8| 2002,Houston Texans,24,Pittsburgh Steelers,6
Dec 8| 2002,San Francisco 49ers,31,Dallas Cowboys,27
Dec 8| 2002,Cincinnati Bengals,52,Carolina Panthers,31
Dec 8| 2002,New York Giants,27,Washington Redskins,21
Dec 8| 2002,Buffalo Bills,27,New England Patriots,17
Dec 8| 2002,Indianapolis Colts,27,Tennessee Titans,17
Dec 8| 2002,Cleveland Browns,21,Jacksonville Jaguars,20
Dec 8| 2002,Philadelphia Eagles,27,Seattle Seahawks,20
Dec 8| 2002,New Orleans Saints,37,Baltimore Ravens,25
Dec 8| 2002,Detroit Lions,23,Arizona Cardinals,20
Dec 8| 2002,Oakland Raiders,27,San Diego Chargers,7
Dec 8| 2002,Denver Broncos,19,New York Jets,13
Dec 8| 2002,Minnesota Vikings,26,Green Bay Packers,22
Dec 9| 2002,Chicago Bears,27,Miami Dolphins,9
Dec 15| 2002,Carolina Panthers,30,Pittsburgh Steelers,14
Dec 15| 2002,San Diego Chargers,20,Buffalo Bills,13
Dec 15| 2002,Washington Redskins,34,Philadelphia Eagles,21
Dec 15| 2002,Oakland Raiders,23,Miami Dolphins,17
Dec 15| 2002,Baltimore Ravens,23,Houston Texans,19
Dec 15| 2002,Indianapolis Colts,28,Cleveland Browns,23
Dec 15| 2002,Jacksonville Jaguars,29,Cincinnati Bengals,15
Dec 15| 2002,Seattle Seahawks,30,Atlanta Falcons,24
Dec 15| 2002,Minnesota Vikings,32,New Orleans Saints,31
Dec 15| 2002,Tampa Bay Buccaneers,23,Detroit Lions,20
Dec 15| 2002,New York Jets,20,Chicago Bears,13
Dec 15| 2002,Kansas City Chiefs,31,Denver Broncos,24
Dec 15| 2002,Green Bay Packers,20,San Francisco 49ers,14
Dec 15| 2002,Dallas Cowboys,37,New York Giants,7
Dec 15| 2002,Arizona Cardinals,30,St. Louis Rams,28
Dec 16| 2002,New England Patriots,24,Tennessee Titans,7
Dec 21| 2002,Miami Dolphins,20,Minnesota Vikings,17
Dec 21| 2002,San Francisco 49ers,17,Arizona Cardinals,14
Dec 21| 2002,Philadelphia Eagles,27,Dallas Cowboys,3
Dec 22| 2002,San Diego Chargers,24,Kansas City Chiefs,22
Dec 22| 2002,New York Giants,44,Indianapolis Colts,27
Dec 22| 2002,Houston Texans,26,Washington Redskins,10
Dec 22| 2002,Buffalo Bills,10,Green Bay Packers,0
Dec 22| 2002,New Orleans Saints,20,Cincinnati Bengals,13
Dec 22| 2002,Chicago Bears,24,Carolina Panthers,14
Dec 22| 2002,Tennessee Titans,28,Jacksonville Jaguars,10
Dec 22| 2002,Detroit Lions,36,Atlanta Falcons,15
Dec 22| 2002,St. Louis Rams,30,Seattle Seahawks,10
Dec 22| 2002,Cleveland Browns,14,Baltimore Ravens,13
Dec 22| 2002,Denver Broncos,28,Oakland Raiders,16
Dec 22| 2002,New York Jets,30,New England Patriots,17
Dec 23| 2002,Pittsburgh Steelers,17,Tampa Bay Buccaneers,7
Dec 28| 2002,Philadelphia Eagles,10,New York Giants,7
Dec 28| 2002,Kansas City Chiefs,24,Oakland Raiders,0
Dec 29| 2002,Cincinnati Bengals,27,Buffalo Bills,9
Dec 29| 2002,Dallas Cowboys,20,Washington Redskins,14
Dec 29| 2002,Baltimore Ravens,34,Pittsburgh Steelers,31
Dec 29| 2002,Miami Dolphins,27,New England Patriots,24
Dec 29| 2002,Carolina Panthers,10,New Orleans Saints,6
Dec 29| 2002,Minnesota Vikings,38,Detroit Lions,36
Dec 29| 2002,Atlanta Falcons,24,Cleveland Browns,16
Dec 29| 2002,Tennessee Titans,13,Houston Texans,3
Dec 29| 2002,Jacksonville Jaguars,20,Indianapolis Colts,13
Dec 29| 2002,Seattle Seahawks,31,San Diego Chargers,28
Dec 29| 2002,Green Bay Packers,42,New York Jets,17
Dec 29| 2002,Arizona Cardinals,37,Denver Broncos,7
Dec 29| 2002,Tampa Bay Buccaneers,15,Chicago Bears,0
Dec 30| 2002,San Francisco 49ers,31,St. Louis Rams,20
Jan 4| 2003,Indianapolis Colts,41,New York Jets,0
Jan 4| 2003,Atlanta Falcons,27,Green Bay Packers,7
Jan 5| 2003,Cleveland Browns,36,Pittsburgh Steelers,33
Jan 5| 2003,New York Giants,39,San Francisco 49ers,38
Jan 11| 2003,Pittsburgh Steelers,34,Tennessee Titans,31
Jan 11| 2003,Atlanta Falcons,20,Philadelphia Eagles,6
Jan 12| 2003,San Francisco 49ers,31,Tampa Bay Buccaneers,6
Jan 12| 2003,New York Jets,30,Oakland Raiders,10
Jan 19| 2003,Tampa Bay Buccaneers,27,Philadelphia Eagles,10
Jan 19| 2003,Tennessee Titans,41,Oakland Raiders,24
Jan 26| 2003,Tampa Bay Buccaneers,48,Oakland Raiders,21
Sep 4| 2003,New York Jets,16,Washington Redskins,13
Sep 7| 2003,San Diego Chargers,27,Kansas City Chiefs,14
Sep 7| 2003,Jacksonville Jaguars,24,Carolina Panthers,23
Sep 7| 2003,New England Patriots,31,Buffalo Bills,0
Sep 7| 2003,Baltimore Ravens,34,Pittsburgh Steelers,15
Sep 7| 2003,Minnesota Vikings,30,Green Bay Packers,25
Sep 7| 2003,St. Louis Rams,23,New York Giants,13
Sep 7| 2003,Houston Texans,21,Miami Dolphins,20
Sep 7| 2003,Arizona Cardinals,42,Detroit Lions,24
Sep 7| 2003,Indianapolis Colts,9,Cleveland Browns,6
Sep 7| 2003,Denver Broncos,30,Cincinnati Bengals,10
Sep 7| 2003,New Orleans Saints,27,Seattle Seahawks,10
Sep 7| 2003,Chicago Bears,49,San Francisco 49ers,7
Sep 7| 2003,Atlanta Falcons,27,Dallas Cowboys,13
Sep 7| 2003,Oakland Raiders,25,Tennessee Titans,20
Sep 8| 2003,Tampa Bay Buccaneers,17,Philadelphia Eagles,0
Sep 14| 2003,Tennessee Titans,33,Indianapolis Colts,7
Sep 14| 2003,Pittsburgh Steelers,41,Kansas City Chiefs,20
Sep 14| 2003,Cleveland Browns,33,Baltimore Ravens,13
Sep 14| 2003,San Francisco 49ers,27,St. Louis Rams,24
Sep 14| 2003,Miami Dolphins,21,New York Jets,10
Sep 14| 2003,Houston Texans,31,New Orleans Saints,10
Sep 14| 2003,Detroit Lions,31,Green Bay Packers,6
Sep 14| 2003,Washington Redskins,33,Atlanta Falcons,31
Sep 14| 2003,Buffalo Bills,38,Jacksonville Jaguars,17
Sep 14| 2003,Carolina Panthers,12,Tampa Bay Buccaneers,9
Sep 14| 2003,Seattle Seahawks,38,Arizona Cardinals,0
Sep 14| 2003,Denver Broncos,37,San Diego Chargers,13
Sep 14| 2003,Cincinnati Bengals,23,Oakland Raiders,20
Sep 14| 2003,New England Patriots,31,Philadelphia Eagles,10
Sep 14| 2003,Chicago Bears,24,Minnesota Vikings,13
Sep 15| 2003,Dallas Cowboys,35,New York Giants,32
Sep 21| 2003,Jacksonville Jaguars,23,Indianapolis Colts,13
Sep 21| 2003,Pittsburgh Steelers,17,Cincinnati Bengals,10
Sep 21| 2003,New York Jets,23,New England Patriots,16
Sep 21| 2003,Kansas City Chiefs,42,Houston Texans,14
Sep 21| 2003,Tampa Bay Buccaneers,31,Atlanta Falcons,10
Sep 21| 2003,New Orleans Saints,27,Tennessee Titans,12
Sep 21| 2003,Minnesota Vikings,23,Detroit Lions,13
Sep 21| 2003,New York Giants,24,Washington Redskins,21
Sep 21| 2003,St. Louis Rams,24,Seattle Seahawks,23
Sep 21| 2003,Green Bay Packers,20,Arizona Cardinals,13
Sep 21| 2003,Cleveland Browns,13,San Francisco 49ers,12
Sep 21| 2003,Baltimore Ravens,24,San Diego Chargers,10
Sep 21| 2003,Buffalo Bills,17,Miami Dolphins,7
Sep 22| 2003,Oakland Raiders,31,Denver Broncos,10
Sep 28| 2003,Tennessee Titans,30,Pittsburgh Steelers,13
Sep 28| 2003,Philadelphia Eagles,23,Buffalo Bills,13
Sep 28| 2003,Arizona Cardinals,37,St. Louis Rams,13
Sep 28| 2003,Cincinnati Bengals,21,Cleveland Browns,14
Sep 28| 2003,New England Patriots,20,Washington Redskins,17
Sep 28| 2003,San Francisco 49ers,35,Minnesota Vikings,7
Sep 28| 2003,Jacksonville Jaguars,24,Houston Texans,20
Sep 28| 2003,Kansas City Chiefs,17,Baltimore Ravens,10
Sep 28| 2003,San Diego Chargers,34,Oakland Raiders,31
Sep 28| 2003,Atlanta Falcons,23,Carolina Panthers,3
Sep 28| 2003,Dallas Cowboys,17,New York Jets,6
Sep 28| 2003,Detroit Lions,20,Denver Broncos,16
Sep 28| 2003,Indianapolis Colts,55,New Orleans Saints,21
Sep 29| 2003,Green Bay Packers,38,Chicago Bears,23
Oct 5| 2003,Denver Broncos,24,Kansas City Chiefs,23
Oct 5| 2003,New Orleans Saints,19,Carolina Panthers,13
Oct 5| 2003,Cincinnati Bengals,22,Buffalo Bills,16
Oct 5| 2003,Tennessee Titans,38,New England Patriots,30
Oct 5| 2003,Seattle Seahawks,35,Green Bay Packers,13
Oct 5| 2003,Arizona Cardinals,24,Dallas Cowboys,7
Oct 5| 2003,Oakland Raiders,24,Chicago Bears,21
Oct 5| 2003,Miami Dolphins,23,New York Giants,10
Oct 5| 2003,Minnesota Vikings,39,Atlanta Falcons,26
Oct 5| 2003,San Diego Chargers,27,Jacksonville Jaguars,21
Oct 5| 2003,Detroit Lions,24,San Francisco 49ers,17
Oct 5| 2003,Washington Redskins,27,Philadelphia Eagles,25
Oct 5| 2003,Cleveland Browns,33,Pittsburgh Steelers,13
Oct 6| 2003,Indianapolis Colts,38,Tampa Bay Buccaneers,35
Oct 12| 2003,Carolina Panthers,23,Indianapolis Colts,20
Oct 12| 2003,Miami Dolphins,24,Jacksonville Jaguars,10
Oct 12| 2003,New York Giants,17,New England Patriots,6
Oct 12| 2003,Kansas City Chiefs,40,Green Bay Packers,34
Oct 12| 2003,Oakland Raiders,13,Cleveland Browns,7
Oct 12| 2003,Tampa Bay Buccaneers,35,Washington Redskins,13
Oct 12| 2003,Houston Texans,38,Tennessee Titans,17
Oct 12| 2003,Chicago Bears,20,New Orleans Saints,13
Oct 12| 2003,Philadelphia Eagles,23,Dallas Cowboys,21
Oct 12| 2003,Buffalo Bills,30,New York Jets,3
Oct 12| 2003,Pittsburgh Steelers,17,Denver Broncos,14
Oct 12| 2003,Baltimore Ravens,26,Arizona Cardinals,18
Oct 12| 2003,San Francisco 49ers,20,Seattle Seahawks,19
Oct 13| 2003,Atlanta Falcons,36,St. Louis Rams,0
Oct 19| 2003,Denver Broncos,28,Minnesota Vikings,20
Oct 19| 2003,Tennessee Titans,37,Carolina Panthers,17
Oct 19| 2003,Green Bay Packers,34,St. Louis Rams,24
Oct 19| 2003,San Diego Chargers,26,Cleveland Browns,20
Oct 19| 2003,Baltimore Ravens,34,Cincinnati Bengals,26
Oct 19| 2003,New Orleans Saints,45,Atlanta Falcons,17
Oct 19| 2003,Philadelphia Eagles,14,New York Giants,10
Oct 19| 2003,New England Patriots,19,Miami Dolphins,13
Oct 19| 2003,Dallas Cowboys,38,Detroit Lions,7
Oct 19| 2003,New York Jets,19,Houston Texans,14
Oct 19| 2003,Washington Redskins,24,Buffalo Bills,7
Oct 19| 2003,Tampa Bay Buccaneers,24,San Francisco 49ers,7
Oct 19| 2003,Chicago Bears,24,Seattle Seahawks,17
Oct 20| 2003,Kansas City Chiefs,17,Oakland Raiders,10
Oct 26| 2003,New York Giants,29,Minnesota Vikings,17
Oct 26| 2003,Dallas Cowboys,16,Tampa Bay Buccaneers,0
Oct 26| 2003,Tennessee Titans,30,Jacksonville Jaguars,17
Oct 26| 2003,Seattle Seahawks,27,Cincinnati Bengals,24
Oct 26| 2003,Denver Broncos,26,Baltimore Ravens,6
Oct 26| 2003,St. Louis Rams,33,Pittsburgh Steelers,21
Oct 26| 2003,Cleveland Browns,9,New England Patriots,3
Oct 26| 2003,Detroit Lions,24,Chicago Bears,16
Oct 26| 2003,Carolina Panthers,23,New Orleans Saints,20
Oct 26| 2003,San Francisco 49ers,16,Arizona Cardinals,13
Oct 26| 2003,New York Jets,24,Philadelphia Eagles,17
Oct 26| 2003,Houston Texans,30,Indianapolis Colts,21
Oct 26| 2003,Buffalo Bills,38,Kansas City Chiefs,5
Oct 27| 2003,Miami Dolphins,26,San Diego Chargers,10
Nov 2| 2003,Jacksonville Jaguars,24,Baltimore Ravens,17
Nov 2| 2003,Carolina Panthers,14,Houston Texans,10
Nov 2| 2003,New York Giants,31,New York Jets,28
Nov 2| 2003,Oakland Raiders,23,Detroit Lions,13
Nov 2| 2003,Indianapolis Colts,23,Miami Dolphins,17
Nov 2| 2003,San Diego Chargers,20,Chicago Bears,7
Nov 2| 2003,New Orleans Saints,17,Tampa Bay Buccaneers,14
Nov 2| 2003,Cincinnati Bengals,17,Arizona Cardinals,14
Nov 2| 2003,Pittsburgh Steelers,23,Seattle Seahawks,16
Nov 2| 2003,Philadelphia Eagles,23,Atlanta Falcons,16
Nov 2| 2003,Washington Redskins,21,Dallas Cowboys,14
Nov 2| 2003,St. Louis Rams,30,San Francisco 49ers,10
Nov 2| 2003,Green Bay Packers,30,Minnesota Vikings,27
Nov 3| 2003,New England Patriots,30,Denver Broncos,26
Nov 9| 2003,Cleveland Browns,41,Kansas City Chiefs,20
Nov 9| 2003,Tampa Bay Buccaneers,27,Carolina Panthers,24
Nov 9| 2003,Seattle Seahawks,27,Washington Redskins,20
Nov 9| 2003,Arizona Cardinals,28,Pittsburgh Steelers,15
Nov 9| 2003,Miami Dolphins,31,Tennessee Titans,7
Nov 9| 2003,Indianapolis Colts,28,Jacksonville Jaguars,23
Nov 9| 2003,Houston Texans,34,Cincinnati Bengals,27
